client_sk,client_id,first_name,last_name,date_of_birth,gender,city,country,acquisition_channel
1,CL-000001,Raymond,Kranz,1980-11-09,,Düsseldorf,Germany,Web
2,CL-000002,Horst-Dieter,Rädel,1957-06-01,Male,Hamburg,Germany,Web
3,CL-000003,Zeki,Röhrdanz,1998-11-19,Male,Hamburg,Germany,Web
4,CL-000004,Wieland,Atzler,1986-08-08,Male,Leipzig,Germany,Referral
5,CL-000005,Oswald,Drewes,1986-09-13,Male,Düsseldorf,Germany,Referral
6,CL-000006,Svenja,Reising,1991-05-29,Female,Frankfurt,Germany,Partner
7,CL-000007,Elvira,Wilmsen,1983-12-05,Female,Hamburg,Germany,Referral
8,CL-000008,Gustav,Dowerg,1960-04-12,Male,München,Germany,Web
9,CL-000009,Sylvio,Franke,1971-03-09,,Köln,Germany,Referral
10,CL-000010,Adelinde,Ullmann,1999-11-29,Female,Hamburg,Germany,Referral
11,CL-000011,Oskar,Hesse,2006-06-12,Male,Berlin,Germany,Event
12,CL-000012,James,Wiek,1952-06-19,Male,Dortmund,Germany,Referral
13,CL-000013,Ana,Döring,1999-07-19,,Essen,Austria,Event
14,CL-000014,Luzia,Huhn,1997-08-01,Female,Hamburg,Germany,Referral
15,CL-000015,Marcus,Patberg,1981-10-01,Male,Köln,Germany,Event
16,CL-000016,Eckehard,Fliegner,1965-10-02,Male,Bochum,Germany,Referral
17,CL-000017,Olga,Fritsch,1977-01-05,Female,Nürnberg,Germany,Partner
18,CL-000018,Winfried,Wulff,2003-01-30,Male,Berlin,Austria,Web
19,CL-000019,Katerina,Ackermann,1981-01-24,Female,Stuttgart,Germany,Web
20,CL-000020,Gabi,Niemeier,1941-08-20,Female,Essen,Germany,Event
21,CL-000021,Bertram,Klotz,2000-02-08,Male,Hamburg,Germany,Web
22,CL-000022,Senol,Jäntsch,1956-08-08,Male,Köln,Germany,Referral
23,CL-000023,Anna-Lena,Hendriks,2000-01-22,Female,Frankfurt,Germany,Web
24,CL-000024,Käthi,Budig,1946-02-19,Female,Leipzig,Germany,Partner
25,CL-000025,Pascal,Neureuther,1995-11-03,Male,Berlin,Germany,Referral
26,CL-000026,Apostolos,Wesack,1976-07-23,Male,Stuttgart,Germany,Web
27,CL-000027,Kreszenz,Eberth,1949-01-17,,Nürnberg,Germany,Referral
28,CL-000028,Maurizio,Mülichen,2004-09-28,Male,Leipzig,Germany,Partner
29,CL-000029,Karl,Gehringer,1958-05-07,Male,Hamburg,Germany,Partner
30,CL-000030,Katalin,auch Schlauchin,1969-02-07,Female,Nürnberg,Germany,Referral
31,CL-000031,Wiebke,Hahn,2003-07-10,Female,Berlin,Germany,Event
32,CL-000032,Juri,Wende,1989-12-24,Male,Köln,Germany,Web
33,CL-000033,Muharrem,Gute,1988-10-28,Male,Frankfurt,Germany,Referral
34,CL-000034,Franziska,Kuhl,2008-01-11,Female,Hamburg,Germany,Event
35,CL-000035,Marie-Therese,Seip,1965-09-20,Female,Köln,Germany,Referral
36,CL-000036,Heinz-Otto,Plath,1971-01-12,Male,Stuttgart,Germany,Referral
37,CL-000037,Bertha,Hentschel,1955-08-07,Female,Frankfurt,Germany,Referral
38,CL-000038,Anton,Kambs,1941-09-27,Male,Dortmund,Germany,Web
39,CL-000039,Lieschen,Röhrdanz,1955-12-20,Female,Frankfurt,Germany,Referral
40,CL-000040,Klaus-Ulrich,Hartmann,1940-10-18,Male,Dortmund,Germany,Partner
41,CL-000041,Annegrete,Trommler,1983-04-04,Female,Hamburg,Germany,Referral
42,CL-000042,Anna-Luise,Hein,1944-11-23,Female,Dortmund,Germany,Web
43,CL-000043,Torsten,Beckmann,1998-10-22,Male,Leipzig,Germany,Event
44,CL-000044,Georgia,Boucsein,1975-04-19,Female,Dortmund,Germany,Partner
45,CL-000045,Ernst,Holsten,1985-10-31,Male,Leipzig,Germany,Partner
46,CL-000046,Janin,Hamann,1977-01-01,Female,Hamburg,Germany,Referral
